Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
AMEX,GRF,"Eagle Capital Growth Fund, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,GRO,Brazil Potash Corp. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,GROY,Gold Royalty Corp. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,GROY.W,Gold Royalty Corp. Warrants,Stock,,nasdaq_trader_symbol_directory
AMEX,GTE,Gran Tierra Energy Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,HCWC,Healthy Choice Wellness Corp. Class A Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,HSLV,Highlander Silver Corp. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,HYLN,Hyliion Holdings Corp. Class A Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,IAF,"abrdn Australia Equity Fund, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,IAUX,i-80 Gold Corp. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,IAUX.W,"i-80 Gold Corp. Warrants, each warrant exercisable for one Common Share at an exercise price of $0.70",Stock,,nasdaq_trader_symbol_directory
AMEX,IBO,"Impact BioMedical, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,IDR,"Idaho Strategic Resources, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,IE,Ivanhoe Electric Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,IGC,"IGC Pharma, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,Stock,,nasdaq_trader_symbol_directory
AMEX,IMO,Imperial Oil Limited Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,INDO,Indonesia Energy Corporation Limited Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,INFU,"InfuSystems Holdings, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,INLX,"Intellinetics, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,INTT,inTest Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,INUV,"Inuvo, Inc.",Stock,,nasdaq_trader_symbol_directory
AMEX,IOR,"Income Opportunity Realty Investors, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,ISOU,IsoEnergy Ltd. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,ITP,"IT Tech Packaging, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,ITRG,Integra Resources Corp. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,JAGU,Jaguar Uranium Corp. Class A Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,JOB,GEE Group Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,KAPA,"Kairos Pharma, Ltd. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,KNRX,KNOREX LTD. Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,KULR,"KULR Technology Group, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,LCTX,"Lineage Cell Therapeutics, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,LEGO,Legato Merger Corp. IV Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,LEGO.U,"Legato Merger Corp. IV Units, each consisting of one ordinary share and one-third of one redeemable warrant",Stock,,nasdaq_trader_symbol_directory
AMEX,LEGO.W,"Legato Merger Corp. IV Redeemable Warrants, each whole warrant exercisable to purchase one ordinary share at an exercise price of $11.50 per share",Stock,,nasdaq_trader_symbol_directory
AMEX,LGCY,Legacy Education Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,LGL,"LGL Group, Inc. (The) Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,LGL.R,"LGL Group, Inc. (The) Rights (expiring June 23, 2026) Rights",Stock,,nasdaq_trader_symbol_directory
AMEX,LGPS,LogProstyle Inc. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,LODE,Comstock Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,LPA,Logistic Properties of the Americas Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,LSF,"Laird Superfood, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,LUD,Luda Technology Group Limited Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,MAIA,"MAIA Biotechnology, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,MCRP,Micropolis AI Robotics Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,MGLD,"The Marygold Companies, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,MHH,"Mastech Digital, Inc Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,MI,NFT Limited Class A Ordinary Share,Stock,,nasdaq_trader_symbol_directory
AMEX,MINE,Mayfair Gold Corp. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,MITQ,"Moving iMage Technologies, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,MLSS,"Milestone Scientific, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,MMA,Mixed Martial Arts Group Limited Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,MPTI,"M-tron Industries, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,MPU,Mega Matrix Inc. Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,MRT,"Marti Technologies, Inc. Class A Ordinary Shares",Stock,,nasdaq_trader_symbol_directory
AMEX,MSN,Emerson Radio Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,MTA,Metalla Royalty & Streaming Ltd. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,MTNB,"Matinas Biopharma Holdings, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,MWG,Multi Ways Holdings Limited Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,MXC,Mexco Energy Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,MYND,"Mynd.ai, Inc. American Depositary Shares",Stock,,nasdaq_trader_symbol_directory
AMEX,MYO,Myomo Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,NAK,"Northern Dynasty Minerals, Ltd. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,NBH,Neuberger Municipal Fund Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,NCL,Northann Corp. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,Stock,,nasdaq_trader_symbol_directory
AMEX,NEWP,New Pacific Metals Corp. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,NFGC,New Found Gold Corp Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,NG,Novagold Resources Inc.,Stock,,nasdaq_trader_symbol_directory
AMEX,NHC,National HealthCare Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,NHS,Neuberger High Yield Strategies Fund Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,NINE,"Nine Energy Service, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,NML,Neuberger Energy Infrastructure and Income Fund Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,NNVC,"NanoViricides, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,NRO,Neuberger Real Estate Securities Income Fund Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,NRXS,"Neuraxis, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,NSRX,Nasus Pharma Ltd. Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,NTIP,"Network-1 Technologies, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,NVA,Nova Minerals Corp Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,NVA.W,Nova Minerals Corp Warrants to Purchase Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,NXB,NextBoat Inc. Common Stcok,Stock,,nasdaq_trader_symbol_directory
AMEX,OBE,Obsidian Energy Ltd. Common Shares,Stock,,nasdaq_trader_symbol_directory
